0	T_update:0.0146	 training loss:1.71
10	T_update:0.0058	 training loss:1.47
20	T_update:0.0056	 training loss:1.36
30	T_update:0.0058	 training loss:1.35
40	T_update:0.0060	 training loss:1.22
50	T_update:0.0057	 training loss:1.22
60	T_update:0.0058	 training loss:1.18
70	T_update:0.0050	 training loss:1.13
80	T_update:0.0057	 training loss:1.11
90	T_update:0.0059	 training loss:1.14
100	T_update:0.0045	 training loss:1.06
110	T_update:0.0059	 training loss:1.06
120	T_update:0.0050	 training loss:1.00
130	T_update:0.0054	 training loss:1.02
140	T_update:0.0059	 training loss:1.03
150	T_update:0.0057	 training loss:0.92
160	T_update:0.0054	 training loss:0.94
170	T_update:0.0059	 training loss:0.94
180	T_update:0.0059	 training loss:0.90
190	T_update:0.0061	 training loss:0.85
200	T_update:0.0097	 training loss:0.89
210	T_update:0.0068	 training loss:0.87
220	T_update:0.0059	 training loss:0.84
230	T_update:0.0061	 training loss:0.86
240	T_update:0.0056	 training loss:0.77
250	T_update:0.0059	 training loss:0.78
260	T_update:0.0072	 training loss:0.79
270	T_update:0.0079	 training loss:0.78
280	T_update:0.0062	 training loss:0.78
290	T_update:0.0071	 training loss:0.76
300	T_update:0.0068	 training loss:0.71
310	T_update:0.0074	 training loss:0.70
320	T_update:0.0058	 training loss:0.72
330	T_update:0.0064	 training loss:0.68
340	T_update:0.0109	 training loss:0.67
350	T_update:0.0155	 training loss:0.70
360	T_update:0.0111	 training loss:0.67
370	T_update:0.0069	 training loss:0.61
380	T_update:0.0068	 training loss:0.68
390	T_update:0.0072	 training loss:0.62
400	T_update:0.0068	 training loss:0.64
410	T_update:0.0065	 training loss:0.64
420	T_update:0.0055	 training loss:0.59
430	T_update:0.0059	 training loss:0.63
440	T_update:0.0060	 training loss:0.60
450	T_update:0.0058	 training loss:0.59
460	T_update:0.0047	 training loss:0.55
470	T_update:0.0059	 training loss:0.56
480	T_update:0.0059	 training loss:0.59
490	T_update:0.0062	 training loss:0.58
500	T_update:0.0060	 training loss:0.55
510	T_update:0.0057	 training loss:0.51
520	T_update:0.0058	 training loss:0.56
530	T_update:0.0060	 training loss:0.54
540	T_update:0.0051	 training loss:0.52
550	T_update:0.0059	 training loss:0.54
560	T_update:0.0049	 training loss:0.51
570	T_update:0.0055	 training loss:0.50
580	T_update:0.0057	 training loss:0.51
590	T_update:0.0046	 training loss:0.48
600	T_update:0.0059	 training loss:0.49
610	T_update:0.0055	 training loss:0.46
620	T_update:0.0081	 training loss:0.47
630	T_update:0.0092	 training loss:0.44
640	T_update:0.0161	 training loss:0.45
650	T_update:0.0199	 training loss:0.45
660	T_update:0.0129	 training loss:0.43
